event,date,fighter,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Vicente Luque,5.16926118112182,52.6156941649899,5.15443538423524,52.1998166819432,1.03780578206079,60.8695652173913,62.7118644067797,0.667160859896219
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Aleksa Camur,4.45,55.741127348643,4.55,53.9629005059022,0.5,22.2222222222222,50.0,0.0
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Asu Almabayev,3.17718940936864,65.0,0.488798370672098,77.7777777777778,3.66598778004073,40.0,,3.66598778004073
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Billy Quarantillo,7.2552783109405,55.3440702781845,5.64299424184261,44.0,1.43953934740883,25.0,64.2857142857143,1.29558541266795
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Carlston Harris,2.93150684931507,49.7674418604651,2.43835616438356,53.4031413612565,2.05479452054794,29.4117647058824,55.5555555555556,0.821917808219178
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Cody Durden,3.13432835820895,49.802371541502,2.93532338308458,52.2267206477733,5.41044776119403,50.0,80.0,0.373134328358209
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Cory Sandhagen,5.32564514604405,44.4602272727273,3.39729653086303,58.0238262088297,1.36118725777484,33.3333333333333,64.1025641025641,0.340296814443709
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Damon Jackson,3.02488832163369,40.4092071611253,3.45564773452457,50.2068965517241,2.44097000638162,34.6938775510204,40.9090909090909,1.57945118059987
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Dennis Buzukja,2.8,36.2068965517241,4.73333333333333,43.6507936507937,0.0,0.0,20.0,0.0
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Diego Lopes,2.22444889779559,50.6849315068493,5.29058116232465,34.8148148148148,0.0,,37.5,6.312625250501
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Dustin Jacoby,5.52142386288728,43.9546599496222,4.35860250494397,59.6336996336996,0.35596572181938,20.0,52.9411764705882,0.0
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Gavin Tucker,4.29166666666667,44.7178002894356,4.18055555555556,57.4257425742574,3.125,44.1176470588235,53.8461538461539,1.45833333333333
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Ignacio Bahamondes,6.77532013969732,45.2003727865797,4.54016298020955,56.4343163538874,0.0,0.0,81.8181818181818,0.419091967403958
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Jake Hadley,3.46551724137931,44.3708609271523,3.33620689655172,57.0,0.0,0.0,36.3636363636364,1.93965517241379
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Jeremiah Wells,2.51730103806228,45.9715639810427,1.14186851211073,47.6190476190476,3.89273356401384,43.4782608695652,100.0,1.16782006920415
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Jessica Andrade,6.6758301381755,50.8429752066116,5.34326846560081,54.4580096189419,2.5392461838964,54.9295774647887,70.4225352112676,0.390653259060985
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Kennedy Nzechukwu,4.44047193421523,50.7975460122699,4.12942438326779,51.9350811485643,0.804433321415803,50.0,81.0344827586207,0.321773328566321
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Kyler Phillips,5.23645743766122,46.6130884041332,3.36629406706793,61.2759643916914,2.90197764402408,46.875,69.5652173913043,0.580395528804815
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Ludovit Klein,3.48627303497555,54.1155866900175,3.53140278300113,53.4918276374443,1.52312899586311,45.0,83.3333333333333,0.0
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Ode Osbourne,3.68770764119601,38.5416666666667,4.52491694352159,45.1690821256039,1.19601328903655,23.5294117647059,66.6666666666667,0.0
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Raoni Barcelos,5.37683089214381,51.531393568147,5.02529960053262,61.0767326732673,1.79760319573901,37.5,90.0,0.359520639147803
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Rob Font,5.71147218119153,45.6333595594021,3.69768586903003,57.0857142857143,0.960118168389956,37.1428571428571,46.8085106382979,0.369276218611521
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Sean Woodson,5.83944756150194,46.6390899689762,4.24687095381959,57.840616966581,0.776866637893828,80.0,85.1063829787234,0.582649978420371
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Tanner Boser,4.69588957985742,52.7068437180797,2.74836948278477,58.2872928176796,0.0,,63.1578947368421,0.0
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Tatiana Suarez,4.26823049464559,63.9908256880734,1.37684854665987,51.0869565217391,6.1958184599694,61.3636363636364,100.0,0.917899031106578
